제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,04/27/2015,07:30:00,04/27/2015,08:30:00,FALSE,FALSE,04/27/2015,07:30,Nine2Six,,,,,,,"
[한식]
쇠고기두부탕국(소:호주산)
삼곡밥
절임고추무침
포기김치
823kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*모닝빵/딸기잼*버터
그린샐러드*키위D
우유
스크램블에그
단호박샐러드

[플러스메뉴]
누룽지/김구이
",FALSE,2,중간,보통,
점심메뉴,04/27/2015,11:30:00,04/27/2015,13:00:00,FALSE,FALSE,04/27/2015,11:30,Nine2Six,,,,,,,"
[한식]
숯불제육간장불고기*파무침
(돼지:수입산)
흑향미밥
두부김치국
감자채카레볶음
참나물들깨무침
포기김치/석박지
987kcal

[일품]
치킨마요덮밥
(닭:미국산)
맑은우동국물
수제칠리치즈핫도그
오복채무침
포기김치/석박지
1029kcal

[헬스&]
[질환예방식단-'슈퍼푸드']
단호박퀴노아영양밥
두부김치국
토마토구이곁들인 통살연어커틀렛
어묵셀러리볶음(갈치:수입산)
참나물들깨무침
포기김치/석박지
728kcal

[Slunch]
모듬콩프리타타세트
케이준치킨텐더샐러드(닭:국내산)
MINI과일팩/BIG과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
스위트콘,빈스
유자레몬D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,04/27/2015,17:30:00,04/27/2015,19:00:00,FALSE,FALSE,04/27/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
철판햄야채볶음밥*짜장S
미니짬뽕국
만두탕수
오이맛살겨자채
단무지부추무침
포기김치
1016kcal

[샐러드도시락]
큐브참치샐러드

[플러스메뉴]
그린샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,04/28/2015,07:30:00,04/28/2015,08:30:00,FALSE,FALSE,04/28/2015,07:30,Nine2Six,,,,,,,"
[한식]
들깨수제비국
삼곡밥
검은콩조림
포기김치
831kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
토스트식빵*미니와플/딸기잼*버터
그린샐러드*키위D
우유
계란후라이
햄구이

[플러스메뉴]
누룽지/계란후라이
",FALSE,2,중간,보통,
점심메뉴,04/28/2015,11:30:00,04/28/2015,13:00:00,FALSE,FALSE,04/28/2015,11:30,Nine2Six,,,,,,,"
[한식]
뚝배기차돌순두부찌개*계란탁
(소:미국산)
쌀밥
매콤닭강정(닭:미국산)
시금치나물
통깨건파래볶음
포기김치/석박지
995kcal

[일품]
돈도리비빔밥[돼지고기+닭고기비빔밥]
(돼지:수입산/닭:미국산)
팽이버섯된장국
달콤한고구마맛탕
매실청오이지무침
포기김치/석박지
1014kcal

[헬스&]









[Slunch]
불고기현미또띠아세트(소:호주산)
단호박샐러드
MINI과일팩/BIG과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
견과류
요거트D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,04/28/2015,17:30:00,04/28/2015,19:00:00,FALSE,FALSE,04/28/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
꽁치한마리구이*레몬와사비장
기장밥
돼지등뼈김치찌개
(돼지:캐나다산,스페인산)
청양풍한식잡채
콩나물무침
포기김치
998kcal

[샐러드도시락]
닭가슴살샐러드(닭:국내산)

[플러스메뉴]
그린샐러드*씨리얼*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,04/29/2015,07:30:00,04/29/2015,08:30:00,FALSE,FALSE,04/29/2015,07:30,Nine2Six,,,,,,,"
[한식]
김치콩나물국
삼곡밥
비엔나야채조림
포기김치
844kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*토스트식빵/딸기잼*버터
그린샐러드*키위D
우유
스크램블에그
감자튀김

[플러스메뉴]
누룽지/김구이
",FALSE,2,중간,보통,
점심메뉴,04/29/2015,11:30:00,04/29/2015,13:00:00,FALSE,FALSE,04/29/2015,11:30,Nine2Six,,,,,,,"
[한식]
제육김치두루치기*두부찜
(돼지:수입산)
기장밥
근대국
볼어묵맛살야채볶음(갈치:수입산)
치커리유자청무침
포기김치/석박지
996kcal

[일품]
통마늘크림소스함박스테이크덮밥
(돼지:국내산)
맑은우동국물
야채고로케*케찹
생오이피클*할라페뇨
포기김치/석박지
1021kcal

[헬스&]
[네이처데이]
감자곤드레밥*양념장
따뜻한도토리묵국
두부양념조림
느타리버섯들깨볶음
치커리유자청무침
포기김치/석박지
751kcal

[Slunch]
칠리크랩샌드위치세트
닭가슴살샐러드(닭:국내산)
MINI과일팩/BIG과일팩

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
크루통
아몬드D/오리엔탈D
",FALSE,2,중간,보통,
저녁메뉴,04/29/2015,17:30:00,04/29/2015,19:00:00,FALSE,FALSE,04/29/2015,17:30,Nine2Six,,,,,,,"
[한식 or 일품]
뚝배기매콤닭볶음탕*치즈사리
(닭:국내산)
쌀밥
미역국
해물파전
연근땅콩조림
포기김치
1001kcal

[샐러드도시락]
단호박샐러드

[플러스메뉴]
그린샐러드*견과류*오리엔탈D
",FALSE,2,중간,보통,
아침메뉴,04/30/2015,07:30:00,04/30/2015,08:30:00,FALSE,FALSE,04/30/2015,07:30,Nine2Six,,,,,,,"
[한식]
장터국(소:호주산)
삼곡밥
멸치견과류볶음
포기김치
840kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
토스트식빵*참깨롤빵/딸기잼*버터
그린샐러드*키위D
우유
계란후라이
씨리얼

[플러스메뉴]
누룽지/계란후라이
",FALSE,2,중간,보통,
