제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,2014-07-07,7:30:00,2014-07-07,9:00:00,FALSE,FALSE,2014-07-07,7:15 AM,이지황,,,,,,,"[한식]
삼색수제비국
삼곡밥
메추리알어묵조림(갈치:수입산)
포기김치
764kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*핫케익/딸기잼*버터
그린샐러드*사우전D
우유
스크램블에그
감자볼튀김

[플러스메뉴]
누룽지/김구이",FALSE,2,중간,보통,
점심메뉴,2014-07-07,11:30:00,2014-07-07,13:00:00,FALSE,FALSE,2014-07-07,11:15 AM,이지황,,,,,,,"[한식]
도가니설렁탕*소면
(소:호주산)
흑향미밥
해물잡채완자전
골뱅이야채무침
견과류콩조림
포기김치/석박지
994kcal

[일품]
골든블루스테이크*데미s
(돼지:국내산)
후리가케밥/크루통스프
후질리샐러드파스타
견과류고구마요거트범벅/야채피클
포기김치/석박지
1014kcal



[건강도시락]
그린샐러드*닭가슴살(닭:국내산)
통감자구이/메추리알
야채스틱/바나나/방울토마토
두유/모닝빵
579kcal

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
씨리얼
키위D/오리엔탈D",FALSE,2,중간,보통,
저녁메뉴,2014-07-07,17:30:00,2014-07-07,19:00:00,FALSE,FALSE,2014-07-07,5:15 PM,이지황,,,,,,,"[한식or일품]
[즉석]매콤중화잡채덮밥
(돼지:국내산)
계란파국
깐풍기(닭:미국산)
오이맛살겨자채
단무지부추무침
포기김치
999kcal

[건강도시락]
그린샐러드*올리브계란
고구마찜/새싹연두부
야채스틱/바나나/오렌지
두유/장조림주먹밥(소:호주산)
533kcal

[플러스메뉴]
그린샐러드*견과류*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2014-07-08,7:30:00,2014-07-08,9:00:00,FALSE,FALSE,2014-07-08,7:15 AM,이지황,,,,,,,"[한식]
순두부백탕*절임고추양념장
삼곡밥
꽁치무조림
포기김치
730kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*토스트식빵/딸기잼*버터
그린샐러드*사우전D
우유
계란후라이
웻지감자튀김

[플러스메뉴]
누룽지/계란후라이",FALSE,2,중간,보통,
점심메뉴,2014-07-08,11:30:00,2014-07-08,13:00:00,FALSE,FALSE,2014-07-08,11:15 AM,이지황,,,,,,,"[한식]
뼈다귀해장국
(돼지:국내산)
기장밥
야채계란찜
청양풍어묵잡채(갈치:수입산)
오이부추무침
포기김치/석박지
982kcal

[일품]
[HOT!!]불닭마요덮밥
(닭:국내산)
오이미역냉국
아몬드크림깐쇼새우
콘샐러드
포기김치/석박지
1006kcal



[건강도시락]
그린샐러드*견과류를올린구운야채
단호박구이/삶은계란
야채스틱/바나나/오렌지
두유/아몬드멸치주먹밥
564kcal

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
후르츠
흑임자D/오리엔탈D",FALSE,2,중간,보통,
저녁메뉴,2014-07-08,17:30:00,2014-07-08,19:00:00,FALSE,FALSE,2014-07-08,5:15 PM,이지황,,,,,,,"[한식or일품]
뚝배기불고기버섯전골
(소:호주산)
현미밥
두부계란지짐*양념장
브로콜리컬리플라워*초장
멸치고추장볶음
포기김치
973kcal

[건강도시락]
그린샐러드*닭가슴살(닭:국내산)
통감자구이/메추리알
야채스틱/바나나/토마토
두유/부시맥브레드
527kcal

[플러스메뉴]
그린샐러드*씨리얼*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2014-07-09,7:30:00,2014-07-09,9:00:00,FALSE,FALSE,2014-07-09,7:15 AM,이지황,,,,,,,"[한식]
경상도식쇠고기무국(소:호주산)
삼곡밥
열무된장나물
포기김치
721kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
토스트식빵*부시맥브레드/딸기잼*버터
그린샐러드*사우전D
우유
스크램블에그
코코볼

[플러스메뉴]
누룽지/김구이",FALSE,2,중간,보통,
점심메뉴,2014-07-09,11:30:00,2014-07-09,13:00:00,FALSE,FALSE,2014-07-09,11:15 AM,이지황,,,,,,,"[한식]
깻잎파채를 올린 고추장삼겹살구이
(돼지:독일산)
보리밥
시금치국
비엔나조랑떡야채볶음
쑥갓생두부무침
포기김치/석박지
1006kcal

[일품]
[팔도맛기행]미사리 초계국수
(닭:국내산)
폭탄주먹밥
메밀김치전병*양파간장절임
오복채무침
포기김치/석박지
997kcal

[네이쳐데이]
오곡밥
콩비지김치찌개
단호박을 곁들은 연근스테이크
새콤오이사과무침/삼색묵*양념장
포기김치/석박지
684kcal

[건강도시락]
그린샐러드*흑임자두부
고구마찜/메추리알
야채스틱/바나나/토마토
두유/참깨롤빵
551kcal

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
스위트콘,빈스
사우전D/오리엔탈D",FALSE,2,중간,보통,
저녁메뉴,2014-07-09,17:30:00,2014-07-09,19:00:00,FALSE,FALSE,2014-07-09,5:15 PM,이지황,,,,,,,"[한식or일품]
진한사골떡만두국
(소:호주산)
쌀밥
동태전,깻잎전(동태:러시아산)
연근땅콩조림
마늘쫑무침
배추겉절이김치
967kcal

[건강도시락]
그린샐러드*꽃맛살
단호박구이/삶은계란
야채스틱/바나나/방울토마토
두유/참치마요주먹밥
549kcal

[플러스메뉴]
그린샐러드*견과류*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2014-07-10,7:30:00,2014-07-10,9:00:00,FALSE,FALSE,2014-07-10,7:15 AM,이지황,,,,,,,"[한식]
콩가루배추국
삼곡밥
떡갈비야채조림(돼지:국내산)
포기김치
742kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*참깨롤빵/딸기잼*버터
그린샐러드*사우전D
우유
계란후라이
양념막대감자튀김

[플러스메뉴]
누룽지/계란후라이",FALSE,2,중간,보통,
점심메뉴,2014-07-10,11:30:00,2014-07-10,13:00:00,FALSE,FALSE,2014-07-10,11:15 AM,이지황,,,,,,,"[한식]
안동찜닭*넙죽당면사리
(닭:국내산)
차조밥
들깨미역국
삼색밀전병*겨자소스
검은깨명엽채볶음
포기김치/석박지
980kcal

[일품]
포크볼오므라이스
(돼지:국내산)
맑은우동국물
매콤순살닭강정(닭:미국산)
적채오이피클
포기김치/석박지
1000kcal



[건강도시락]
그린샐러드*참치키드빈
통감자구이/삶은계란
야채스틱/바나나/방울토마토
두유/부시맥브레드
543kcal

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
크루통
유자레몬D/오리엔탈D",FALSE,2,중간,보통,
저녁메뉴,2014-07-10,17:30:00,2014-07-10,19:00:00,FALSE,FALSE,2014-07-10,5:15 PM,이지황,,,,,,,"[한식or일품]
숯불제육간장불고기
(돼지:국내산)
기장밥
뚝배기호박고추장찌개
콩나물무침
통깨건파래볶음
포기김치
957kcal

[건강도시락]
그린샐러드*닭가슴살(닭:국내산)
고구마찜/메추리알
야채스틱/바나나/오렌지
두유/모닝빵
550kcal

[플러스메뉴]
그린샐러드*씨리얼*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2014-07-11,7:30:00,2014-07-11,9:00:00,FALSE,FALSE,2014-07-11,7:15 AM,이지황,,,,,,,"[한식]
북어채감자국
삼곡밥
맛살야채볶음
포기김치
738kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
토스트식빵*모닝빵/딸기잼*버터
그린샐러드*사우전D
우유
스크램블에그
슬라이스햄

[플러스메뉴]
누룽지/김구이",FALSE,2,중간,보통,
점심메뉴,2014-07-11,11:30:00,2014-07-11,13:00:00,FALSE,FALSE,2014-07-11,11:15 AM,이지황,,,,,,,"[한식]
매콤낙지볶음*콩나물찜
(낙지:베트남산)
수수밥
근대국
모짜렐라치즈계란말이
오이양파장아찌
포기김치/석박지
985kcal

[일품]
[글루텐프리데이]쌀비빔국수
불고기삼각김밥(돼지:국내산)
팽이버섯된장국/견과류단호박고구마찜
단무지부추무침
포기김치/석박지
977kcal



[건강도시락]
그린샐러드*닭가슴살(닭:국내산)
단호박구이/메추리알
야채스틱/바나나/방울토마토
두유/현미후리가케주먹밥
565kcal

[플러스메뉴]
현미밥/볶음고추장(소:호주산)
그린샐러드
견과류
복숭아D/오리엔탈D",FALSE,2,중간,보통,
저녁메뉴,2014-07-11,17:30:00,2014-07-11,19:00:00,FALSE,FALSE,2014-07-11,5:15 PM,이지황,,,,,,,"[한식or일품]
얼큰순두부찌개*계란탁
(돼지:국내산)
차조밥
삼치유자소스구이
알감자조림
미나리무생채
포기김치
960kcal

[건강도시락]
그린샐러드*견과류올린구운야채
통감자구이/삶은계란
야채스틱/바나나/토마토
두유/떡갈비주먹밥(돼지:국내산)
568kcal

[플러스메뉴]
그린샐러드*견과류*오리엔탈D",FALSE,2,중간,보통,
