제목,시작 날짜,시작 시간,끝 날짜,끝 시간,하루 종일,미리 알림 설정/해제,미리 알림 날짜,미리 알림 시간,모임 이끌이,필수 참석자,선택 참석자,모임 리소스,거리,범주 항목,비용 정보,설명,숨김,시간 상태 보기,우선 순위,우편물 종류,장소
아침메뉴,2/9/2015,7:30:00,2/9/2015,9:00:00,FALSE,FALSE,2/9/2015,7:15 AM,Nine2Six,,,,,,,"[한식]
북어채콩나물국
삼곡밥
떡갈비야채조림(돼지:국내산,닭:국내산)
포기김치
785kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
토스트식빵*참깨롤빵/딸기잼*버터
그린샐러드*유자레몬D
우유
스크램블에그
씨리얼

[플러스메뉴]
누룽지/김구이",FALSE,2,중간,보통,
점심메뉴,2/9/2015,11:30:00,2/9/2015,13:00:00,FALSE,FALSE,2/9/2015,11:15 AM,Nine2Six,,,,,,,"[한식]
뚝배기버섯불고기*당면사리
(소:호주산)
흑향미밥
들깨미역국
두부계란지짐*양념장
돌나물사과무침
포기김치/석박지
996kcal

[일품]
순살등심돈까스*옛날돈까스S
(돼지:국내산)
검정깨밥/콘크림스프
줄무늬감자튀김/갈릭모닝빵
무오이피클
포기김치/석박지
1026kcal

[네이쳐데이]
[질환예방-'대장'에 좋은식단]
현미영양밥
생청국장김치찌개
고등어구이
(고등어:노르웨이산)
우엉다시마조림/브로컬리양파무침
포기김치/석박지

[건강도시락]
810kcal
그린샐러드*닭가슴살(닭:국내산)
단호박구이/삶은계란
야채스틱/바나나/오렌지
두유/참깨롤빵

[플러스메뉴]
542kcal
현미밥/볶음고추장(소:호주산)
그린샐러드
크루통",FALSE,2,중간,보통,
저녁메뉴,2/9/2015,17:30:00,2/9/2015,19:00:00,FALSE,FALSE,2/9/2015,5:15 PM,Nine2Six,,,,,,,"[한식or일품]
아몬드D/오리엔탈D
뼈다귀해장국*수제비사리
(돼지:캐나다산)
쌀밥
야채계란말이
탕평채
마늘쫑양념무침
포기김치

[건강도시락]
994kcal
그린샐러드*올리브계란
통감자구이/브로컬리
야채스틱/바나나/방울토마토
두유/쇠고기장조림주먹밥(소:호주산)

[플러스메뉴]
그린샐러드*견과류*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2/10/2015,7:30:00,2/10/2015,9:00:00,FALSE,FALSE,2/10/2015,7:15 AM,Nine2Six,,,,,,,"[한식]
매생이떡국
삼곡밥
쥐어채무침
포기김치
772kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*토스트식빵/딸기잼*버터
그린샐러드*유자레몬D
우유
계란후라이
웻지감자튀김

[플러스메뉴]
누룽지/계란후라이",FALSE,2,중간,보통,
점심메뉴,2/10/2015,11:30:00,2/10/2015,13:00:00,FALSE,FALSE,2/10/2015,11:15 AM,Nine2Six,,,,,,,"[한식]
[새마을식당]7분김치찌개*김가루
(돼지:스페인산)
쌀밥
해물잡채완자전
궁중떡볶이
매실청오이지무침
포기김치/석박지
1001kcal

[일품]
단호박고구마오므라이스*더블S
유부된장국
허니버터치킨강정(닭:수입산,국내산)
야채피클
포기김치/석박지
1020kcal



[건강도시락]

그린샐러드*흑임자두부
고구마찜/메추리알
야채스틱/바나나/방울토마토
두유/부시맥브레드

[플러스메뉴]
521kcal
현미밥/볶음고추장(소:호주산)
그린샐러드
견과류",FALSE,2,중간,보통,
저녁메뉴,2/10/2015,17:30:00,2/10/2015,19:00:00,FALSE,FALSE,2/10/2015,5:15 PM,Nine2Six,,,,,,,"[한식or일품]
망고D/오리엔탈D
스팸김치볶음덮밥*계란후라이
무채어묵국(갈치:수입산)
감자고로케*케찹
건과일요거트샐러드
오복채무침
포기김치

[건강도시락]
1010kcal
그린샐러드*새우브로컬리꽃맛살
단호박구이/삶은계란
야채스틱/바나나/토마토
두유/참깨롤빵

[플러스메뉴]
그린샐러드*씨리얼*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2/11/2015,7:30:00,2/11/2015,9:00:00,FALSE,FALSE,2/11/2015,7:15 AM,Nine2Six,,,,,,,"[한식]
참치두부찌개
삼곡밥
콩나물무침
포기김치
778kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*모닝빵/딸기잼*버터
그린샐러드*유자레몬D
우유
스크램블에그
햄구이

[플러스메뉴]
누룽지/김구이",FALSE,2,중간,보통,
점심메뉴,2/11/2015,11:30:00,2/11/2015,13:00:00,FALSE,FALSE,2/11/2015,11:15 AM,Nine2Six,,,,,,,"[한식]
매콤닭볶음탕*떡사리
(닭:국내산)
수수밥
얼갈이된장국
옛날소시지전*케찹
치커리유자청무침
포기김치/석박지
999kcal

[일품]
[즉석]중화잡채덮밥
(돼지:스페인산)
게맛살연두부탕
제육땅콩강정(돼지:국내산)
단무지부추무침
포기김치/석박지
1018kcal

[네이쳐데이]
[네이쳐데이]
감자곤드레밥*달래양념장
냉이콩가루국
메밀김치전병
청포묵오미자샐러드/파래김구이
포기김치/석박지

[건강도시락]
815kcal
그린샐러드*토마토카프레제
통감자구이/삶은계란
야채스틱/바나나/오렌지/두유
떡갈비주먹밥(돼지:국내산,닭:국내산)

[플러스메뉴]
533kcal
현미밥/볶음고추장(소:호주산)
그린샐러드
스위트콘,빈스",FALSE,2,중간,보통,
저녁메뉴,2/11/2015,17:30:00,2/11/2015,19:00:00,FALSE,FALSE,2/11/2015,5:15 PM,Nine2Six,,,,,,,"[한식or일품]
파인애플D/오리엔탈D
[즉석]백련초바지락칼국수
쌀밥
김치만두찜
연근땅콩조림
봄동무침
열무김치

[건강도시락]
1007kcal
그린샐러드*닭가슴살(닭:국내산)
고구마찜/메추리알
야채스틱/바나나/자몽
두유/부시맥브레드

[플러스메뉴]
그린샐러드*견과류*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2/12/2015,7:30:00,2/12/2015,9:00:00,FALSE,FALSE,2/12/2015,7:15 AM,Nine2Six,,,,,,,"[한식]
호박된장찌개
삼곡밥
깻잎양념무침
포기김치
764kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
토스트식빵*부시맥브레드/딸기잼*버터
그린샐러드*유자레몬D
우유
계란후라이
알감자버터구이

[플러스메뉴]
누룽지/계란후라이",FALSE,2,중간,보통,
점심메뉴,2/12/2015,11:30:00,2/12/2015,13:00:00,FALSE,FALSE,2/12/2015,11:15 AM,Nine2Six,,,,,,,"[한식]
숯불제육불고기*파무침
(돼지:국내산)
잡곡밥
얼큰순두부찌개
오미산적
무말랭이부추무침
포기김치/석박지
989kcal

[일품]
인도네시아나시고랭볶음밥*계란후라이(소:호주산)
미니쌀국수
모듬춘권튀김
비트양파초절임
포기김치/석박지
1009kcal



[건강도시락]

그린샐러드*참치키드빈
단호박구이/메추리알
야채스틱/바나나/토마토
두유/모닝빵

[플러스메뉴]
529kcal
현미밥/볶음고추장(소:호주산)
그린샐러드
씨리얼",FALSE,2,중간,보통,
저녁메뉴,2/12/2015,17:30:00,2/12/2015,19:00:00,FALSE,FALSE,2/12/2015,5:15 PM,Nine2Six,,,,,,,"[한식or일품]
흑임자D/오리엔탈D
야끼니꾸돈부리
(돼지:스페인산)
맑은우동국물
타코야끼
연두부토마토샐러드
일식치자단무지*초생강
포기김치

[건강도시락]
1004kcal
그린샐러드*베이컨파프리카
통감자구이/삶은계란
야채스틱/바나나/오렌지
두유/현미후리가케주먹밥

[플러스메뉴]
그린샐러드*씨리얼*오리엔탈D",FALSE,2,중간,보통,
아침메뉴,2/13/2015,7:30:00,2/13/2015,9:00:00,FALSE,FALSE,2/13/2015,7:15 AM,Nine2Six,,,,,,,"[한식]
들깨수제비국
삼곡밥
우엉조림
포기김치
769kcal

[즉석]
즉석해장라면/삼곡밥/김치

[일품]
곡물식빵*미니와플/딸기잼*버터
그린샐러드*유자레몬D
우유
스크램블에그
씨리얼

[플러스메뉴]
누룽지/김구이",FALSE,2,중간,보통,
점심메뉴,2/13/2015,11:30:00,2/13/2015,13:00:00,FALSE,FALSE,2/13/2015,11:15 AM,Nine2Six,,,,,,,"[한식]
육개장
(소:호주산,국내산(육우))
쌀밥
새송이계란조림
감자채파프리카볶음
브로컬리&컬리플라워*초장
포기김치/석박지
993kcal

[일품]
장조림버터비빔밥
(돼지:국내산)
맑은우동국물
매콤까르보나라떡볶이*카레고로케
오복채무침
포기김치/석박지
1015kcal

[네이쳐데이]
[저염식데이]
녹두밥
저염콩나물국
매실소스 곁들인 제육야채볶음
(돼지:국내산)
무염감자채볶음/오이순두부사과소스무침
포기김치/석박지

[건강도시락]
809kcal
그린샐러드*닭가슴살(닭:국내산)
고구마찜/삶은계란
야채스틱/바나나/방울토마토
두유/참깨롤빵

[플러스메뉴]
530kcal
현미밥/볶음고추장(소:호주산)
그린샐러드
견과류",FALSE,2,중간,보통,
저녁메뉴,2/13/2015,17:30:00,2/13/2015,19:00:00,FALSE,FALSE,2/13/2015,5:15 PM,Nine2Six,,,,,,,"[한식or일품]
유자레몬D/오리엔탈D
닭곰탕*소면사리
(닭:국내산)
쌀밥
잡채말이어묵튀김(갈치:수입산)
도토리묵야채무침
통깨건파래볶음
석박지

[건강도시락]
985kcal
그린샐러드*흑임자두부
단호박구이/메추리알
야채스틱/바나나/토마토/두유
떡갈비주먹밥(돼지:국내산,닭:국내산)

[플러스메뉴]
그린샐러드*견과류*오리엔탈D",FALSE,2,중간,보통,
